All,Všetky
"Something went wrong while processing the request.","Pri spracovaní požiadavku došlo k chybe."
"Unable to add attribute","Nepodarilo sa pridať atribút"
"Manage Product Attributes","Spravovať atribúty produktu"
"We can't delete the attribute.","Atribút, sa nedá odstrániť."
"You deleted the product attribute.","Odstránili ste atribút produktu."
"We can't find an attribute to delete.","Nemôžeme nájsť atribút, ktorý chcete odstrániť."
"This attribute no longer exists.","Tento atribút sa už neexistuje."
"This attribute cannot be edited.","Tento atribút nie je možné upravovať."
"Edit Product Attribute","Upraviť atribút produktu"
"An attribute set named '%1' already exists.","Sada atribútov s názvom ""%1"" už existuje."
"Something went wrong while saving the attribute.","Pri ukladaní atribútu došlo k chybe."
"We can't update the attribute.","Nemôže aktualizovať atribút."
"You saved the product attribute.","Uložili ste atribút produktu."
"An attribute with this code already exists.","Atribút s týmto kódom už existuje."
"An attribute with the same code (%1) already exists.","Atribút s rovnakým kódom (%1) už existuje."
"You duplicated the product.","Vytvorili ste duplikát produktu."
"This product doesn't exist.","Takýto výrobok neexistuje."
"Invalid product id. Should be numeric value greater than 0","Neplatné Id produktu. Musí byť číselná hodnota väčšia ako 0"
"A group with the same name already exists.","Skupina s rovnakým názvom už existuje."
"Something went wrong while saving this group.","Pri ukladaní tejto skupiny došlo k chybe."
"A total of %1 record(s) have been deleted.","Celkom %1 záznam(ov) bol(o) odstráný(ch)."
"A total of %1 record(s) have been updated.","Celkom %1 záznamov bolo aktualizovaných."
"Something went wrong while updating the product(s) status.","Pri aktualizácii stavu produktu došlo k chybe."
"You saved the product.","Uložili ste duplikát produktu."
"SKU for product %1 has been changed to %2.","Katalogové číslo, produktu %1 bolo zmenené na %2."
"The image cannot be removed as it has been assigned to the other image role","Obrázok sa nedá odstrániť, pretože je pripojeny ešte k inej úlohe obrazku"
"New Attribute Set","Nová sada atribútov"
"The attribute set has been removed.","Sada atribútov bola odstránená."
"We can't delete this set right now.","Túto sadu nieje možné zmazať práve teraz."
"New Set","Nová sada"
"Manage Product Sets","Spravovať sady produktov"
"Manage Attribute Sets","Spravovať sady atribútov"
"This attribute set no longer exists.","Táto sada atribútov už neexistuje."
"You saved the attribute set.","Uložili ste sadu atribútov."
"Something went wrong while saving the attribute set.","Pri ukladaní sady atribútov došlo k chybe."
"You cleared the comparison list.","Vymazali ste zoznam na porovnanie."
"Something went wrong  clearing the comparison list.","Došlo k chybe pri mazaní zoznamu na porovnanie."
"You removed product %1 from the comparison list.","Produkt %1 bol odobraný zo zoznamu na porovnanie."
"1 item","1 položka"
"%1 items","%1 položiek"
"Invalid attribute %1","Neplatný atribút %1"
Grid,Mriežka
List,Zoznam
"Bad controller interface for showing product","Zlé rozhranie radiča pre zobraznie produktu"
"Product is not loaded","Produkt nie je načítaný"
"Make sure the To Date is later than or the same as the From Date.","Uistite sa, že dátum DO je neskorší alebo rovnaký ako dátum OD."
"Sorry, but we can't find the new parent category you selected.","Je nám ľúto, ale nemôžeme nájsť novú nadradenu kategóriu ktorú ste vybrali."
"Sorry, but we can't find the new category you selected.","Je nám ľúto, ale nemôžeme nájsť novú kategóriu, ktoré ste vybrali."
"We can't move the category because the parent category name matches the child category name.","Nieje možné presunúť kategóriu, pretože názov nadriadenej kategórie sa zhoduje s názvom podkategórie."
"Can't delete root category.","Nemôžete odstrániť základnú kategóriu."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Predefinovaný spôsob radenie vypisu produktov neexistuje v zozname dostupných spôsobov radenia vypisu produktov."
"No layout updates","Žiadne zmeny v rozložení"
"Products only","Iba produkty"
"Static block only","Len statický blok"
"Static block and products","Statický blok a produkty"
"Please select a static block.","Prosím vyberte statický blok."
"Could not save product ""%1"" with position %2 to category %3","Nepodarilo sa uložiť produkt ""%1"" na pozíciu %2 do kategórie %3"
"Could not save product ""%product"" with position %position to category %category","Nepodarilo sa uložiť produkt ""%product"" na pozíciu %position do kategórie %category"
"Operation do not allow to move a parent category to any of children category","Operácia presunu nadradenej kategórie do podkategórie nieje povolená"
"Could not move category","Nebolo možné presunúť kategóriu"
"Could not save category: %1","Nebolo možné uložiť kategóriu: %1"
"Cannot delete category with id %1","Nemôžete odstrániť kategóriu s id %1"
"-- Please Select a Category --","-- Prosím vyberte kategóriu --"
"Grid Only","Len mriežku"
"List Only","Len zoznam"
"Grid (default) / List","Mriežka (predvolené) / zoznam"
"List (default) / Grid","Zoznam (default) / mriežka"
"Automatic (equalize price ranges)","Automatické (vyrovnávanie cenových rozsahov)"
"Automatic (equalize product counts)","Automaticky (vyrovnať počty produktu)"
Manual,Ručne
"-- Please select --","-- Prosím vyberte --"
"Product Thumbnail Itself","Náhľad produktu, vlastný"
"Parent Product Thumbnail","Náhľad nadradeného produktu"
"12h AM/PM","12h doob./poob."
Top/Left,Hore/Vľavo
Top/Right,Hore/Vpravo
Bottom/Left,Dole/Vľavo
Bottom/Right,Dole/Vpravo
Center,Stred
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 nieje rozšírením triedy \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Pri ukladaní súboru/súborov došlo k chybe."
"File can not be saved to the destination folder.","Súbor môže byť uložený do cieľového adresára."
"Unknown EAV indexer type ""%1"".","Neznámy typ EAV indexer-u ""%1""."
"We can't rebuild the index for an undefined product.","Nemožeme vygenerovať nové indexy pre neznámy produkt."
"Bad value was supplied.","Bola zadaná nesprávna hodnota."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modul Vygenerovaný Katalog ma limit %2$d fitrovatelných/zoraditelných atribútov. Aktuálne je použitých %1$d. Prosím doberte niektore atribúty pre použite v tomto moduli"
"Unsupported product type ""%1"".","Nepodporovaný typ produktu ""%1""."
"Please correct the category.","Opravte prosím kategóriu."
"Must be category model instance or its id.","Musí byť inštancia modelu kategórie alebo jej id."
"The attribute model is not defined.","Nie je definovaný model atribútu."
Category,Kategória
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 nieje rozšírením triedy \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 nieje rozšírením triedy \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filter musí byť objekt. Nastavte správny filter."
"Clear Price","Vymazať cenu"
"%1 and above","%1 a viac"
"Group price must be a number greater than 0.","Cena pre skupinu musí byť číslo väčšie ako 0."
"There is no MediaGalleryEntryConverter for given type","Nie je žiaden MediaGalleryEntryConverter, pre daný typ"
"Please enter a number 0 or greater in this field.","Do tohto poľa zadajte číslo 0 alebo väčšie."
"SKU length should be %1 characters maximum.","Katalogové číslo musí mať maximálne %1 znakov."
"Please enter a valid number in this field.","Prosím v tomto poličku zadajte platné číslo."
"We found a duplicate website, tier price, customer group and quantity.","Našli sa duplicítne stránky, skupinové ceny, zákaznícké skupiny a množstvo."
"Percentage value must be a number between 0 and 100.","Percentuálna hodnota musí byť číslo medzi 0 a 100."
"Invalid option id %1","Neplatná možnosť id %1"
"Provided Attribute set non product Attribute set.","Zadaná sada atribútov nieje sadou pre produkty."
"Use config","Použiť konfiguráciu"
"Attribute Set already exists.","Sada atribútov už existuje."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Nebolo možné skopírovat súbor %1. Prosím odstráňte média s neexistujúcími obrázkami a skúste to znova."
"Please specify date required option(s).","Prosím uveďte požadovaný dátum."
"Please specify time required option(s).","Prosím uveďte požadovaný čas."
"The option instance type in options group is incorrect.","Je zadaná nesprávna možnosť v skupine možností."
"The product instance type in options group is incorrect.","Je zadaný nesprávny produkt v skupine možností."
"The configuration item option instance in options group is incorrect.","Je zadaná nesprávna možnosť položky nastavenia v skupine možností."
"The configuration item instance in options group is incorrect.","Je zadaná nesprávna položka nastavenia v skupine možností."
"We can't add the product to the cart because of an option validation issue.","Nebolo možné pridať produkt do košíku pretože sa vyskytli problémi pri overení nastavenia možnosti produktu."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 nieje rozšírením triedy \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file '%1' for '%2' has an invalid extension.","Súbor ""%1"" pre ""%2"" má neplatnú príponu."
"The maximum allowed image size for '%1' is %2x%3 px.","Maximálny povolený rozmer obrazu pre ""%1"" je %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Súbor '%1' ktorý ste nahrali je vačší ako %2 megabytes, čo je limit na našom servery."
"The file '%1' is invalid. Please choose another one","Súbor ""%1"" je neplatný. Prosím, vyberte iný,"
"File '%1' is not an image.","Súbor ""%1"" nie je obrázok."
"Some of the selected item options are not currently available.","Niektoré z vybraných možnosti položky momentálne niesu dostupné."
"Could not save Prices.","Ceny sa nepodarilo uložiť."
"Could not delete Prices","Ceny sa nedá odstrániť"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produkt nemá zadefinovanú skupinovú cenu pre parametre: customerGroupId = '%1', website = %2, qty = %3"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 nieje rozšírením triedy \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 nieje rozšírením triedy \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Samotné nezobrazovať"
"Catalog, Search","Katalóg a vyhľadávanie"
"Something went wrong while removing products from the websites.","Pri odstranení produktov zo strániek došlo k chybe."
"Something went wrong while adding products to websites.","Pri pridávaní produktov na stránky došlo k chybe."
"Product %1 doesn't have linked %2 as %3","Produkt %1 nemá pripojené %2 ako %3"
"Invalid product data: %1","Neplatné údaje produktu: %1"
"Database connection error","Chyba pripojenia k databázi"
"There are not websites for assign to product","Neexistujú žiadne stránky pre priradenie produktu"
"Could not assign product ""%1"" to websites ""%2""","Nebolo možné priradiť produkt ""%1"" k webovej stránke ""%2"""
"Could not save product ""%1"" with websites %2","Nepodarilo sa uložiť produkt ""%1"" s webovou stránkou %2"
"We cannot determine the field name.","Nemohly sme určiť názov políčka."
"Attribute '%1' is locked. %2","Atribút ""%1"" je zamknutý. %2"
"Do not change the scope. %1","Nemente objektív. %1"
"A product type is not defined for the indexer.","Typ výrobku nie je definovaný pre indexovanie."
"Product with SKU %1 is not linked to product with SKU %2","Produkt s katalogovým číslom %1 nie je spojený produktom s katalogovým číslom %2"
Dropdown,"Rozbaľovací zoznam"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 nieje rozšírením triedy \Magento\Framework\Filter\Template"
message,správa
"Advanced Pricing","Pokročilá cenotvorba"
"Customer Group","Zákaznicka skupina"
"Special Price From","Zľava od"
"Product Alerts","Upozornenia produktu"
"Add Selected","Pridať vybrané"
"Select Attribute","Vyberte atribút"
"Create New Attribute","Vytvoriť nový atribút"
"Customizable Options","Prispôsobiteľné možnosti"
"Custom options let customers choose the product variations they want.","Vlastné možnosti umožňujú nakupujúcim vybrať variácie produktu."
"Select Product","Vyberte produkt"
"Add Value","Pridanú hodnotu"
"Option Type","Typ možnosti"
"Max Characters","Max znakov"
"Compatible File Extensions","Použitelné prípony súborov"
"Maximum Image Size","Maximálna veľkosť obrázku"
"Please leave blank if it is not an image.","Prosím nechajte prázdne, ak to nie je obrázok."
"This item has weight","Táto položka má hmotnosť"
"This item has no weight","Táto položka nemá hmotnosť"
"Set Product as New From","Nastaviť produkt ako nový od"
"Related Products, Up-Sells, and Cross-Sells","Podobné, hodotnejšie a zaujmavé produkty"
"Related products are shown to customers in addition to the item the customer is looking at.","Súvisiace produkty sa zobrazujú nakupujúcému vo spojení s položkou, na ktorú sa nakupujúci prezera."
"Add Related Products","Pridať súvisiace produkty"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Produkt ""hodnotnejšia varianta"" zobrazí zákazníkovy cennejšiu alebo kvalitnejšiu alternatívu k produktu na ktorý práve pozerá."
"Add Up-Sell Products","Pridať ""hodnotnejšie varianty"""
"Up-Sell Products","Hodnotnejšie varianty"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Tieto produkty sú zobrazené na výpisu košíka ako produkty o ktoré by mohl mať kupucí záujem vzhľadom k produktom v košíku."
"Add Cross-Sell Products","Pridať zaujmavé produkty"
"Cross-Sell Products","Zaujmavé produkty"
"Schedule Update From","Naplánovať aktualizáciu od"
"Product in Websites","Produkt na webových stránkach"
name,meno
"Copy Data from","Kopírovanie údajov z"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Ak neexistujú žiadne vlastné nadradené kategórie, použite predvolenú nadradenú kategóriu. Kategóriu môžete kedykoľvek priradiť v <a href=""%1"" target=""_blank""> Produkty &gt; Kategórie</a>."
"This operation can take a long time","Táto operácia môže trvať dlho"
"Collapse All","Zbaliť všetko"
"Expand All","Rozbaliť všetko"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potvrďte, zmenu stránky. Všetky úpravý, ktoré ešte neboli uložené budú stratené."
"Manage Titles (Size, Color, etc.)","Spravovať popisky (veľkosť, farba, atď.)"
"Manage Options (Values of Your Attribute)","Správováť možností (hodnoty atribútov)"
"Sort Option","Možnosť zoradenia"
Groups,Skupiny
"Double click on a group to rename it.","Dvojitým kliknutím na skupinu možete zmeniť jej názov."
"Unassigned Attributes","Nepriradené atribúty"
"This group contains system attributes. Please move system attributes to another group and try again.","Táto skupina obsahuje systémové atribúty. Prosím presuňte systémové atribúty do inej skupiny a skúste to znova."
"A name is required.","Meno je povinné."
"Please enter a new group name.","Prosím zadajte názov novej skupiny."
"An attribute group named ""/name/"" already exists.","Skupina atribútov s názvom ""/name/"" už existuje."
"Sorry, we're unable to complete this request.","Je nám ľúto, ale nie sme schopní dokončiť túto požiadavku."
"You can't remove attributes from this attribute set.","Nemôžete odstraniť atribút z tejto sady atribútov."
"Custom Options","Vlastné možnosti"
"This is a required option.","Táto možnosť musí byť zadaná."
"The field isn't complete.","Pole nie je kompletné."
"Compatible file extensions to upload","Povolené prípony súboru pre nahranie"
"Maximum image width","Maximálna šírka obrázku"
"Maximum image height","Maximálna výška obrázku"
"Maximum number of characters:","Maximálny počet znakov:"
"start typing to search template","začnite písať pre vyhľadánie šablónach"
"Product online","Produkt online"
"Product offline","Produkt v režime offline"
"Manage Stock","Správa zásob"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo povolené v nákupnom košíku"
"Maximum Qty Allowed in Shopping Cart","Maximálne množstvo povolené v nákupnom košíku"
"Qty Uses Decimals","Množstvo používa desatinné miesta"
Backorders,Do-objednávky
"Notify for Quantity Below","Upozorniť na množstvo nižšie"
"Enable Qty Increments","Povoliť množstvo po krokoch"
"Qty Increments","Množstevný krok"
"Stock Availability","Dostupnosť na sklade"
"In Stock",Skladom
"Out of Stock",Vypredané
"Add Product To Websites","Pridať produkt do webových stránok"
"Remove Product From Websites","Odstrániť produkt z webových stránok"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Ak chcete skryť položku v katalógu alebo vo výsledky vyhľadávania, nastavte stav na ""Zakázaný""."
"Delete Custom Option","Odstrániť vlastnú možnosť"
"Sort Custom Options","Zoradiť vlasné možnosti"
"Sort Custom Option","Vlastná možnosť radenia"
"Item Price","Cena položky"
"and above","a viac"
"Product In Websites","Produkt na webových stránkach"
"(Copy data from: %1)","(Kopírovať údaje z: %1)"
"Browse to find or drag image here","Vyhladať prechádzaním alebo pretiahnite obrázok sem"
"Delete image","Zmazať obrázok"
Hidden,Skrytý
"Alt Text","Alternatívny Text"
Role,Úloha
"Image Size","Veľkosť obrázka"
"Image Resolution","Rozlíšenie obrazku"
"Hide from Product Page","Nezobrazovať na stránke produktu"
"Allow Multiple Boxes for Shipping","Povoliť viaceré balíky pre doručenie"
"start typing to search attribute","začnite písať pre vyhľadánie atribútu"
"Basic Settings","Základné nastavenia"
"Advanced Settings","Pokročilé nastavenia"
"Special Price","Znížená cena"
"Buy %1 for: ","Kúpiť %1 za: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kúpte %1 po %2 a <strong class=""benefit"">ušetríte<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Kúpiť %1 po %2"
"Shop By","Nakupovať podľa"
"Shopping Options","Nákupné možnosti"
"Compare Products","Porovnať produkty"
"Print This Page","Vytlačiť stránku"
"Remove Product","Odstrániť produkt"
"Add to Wish List","Pridať do zoznamu prianí"
"You have no items to compare.","Nemáte žiadne položky na porovnanie."
"Remove This Item","Odstrániť túto položku"
Compare,Porovnať
"Clear All","Vymazať všetky"
Prev,Predch.
"We can't find products matching the selection.","Zvolenému výberu neodpovedá žiadny produkt."
"Learn More","Zistiť viac"
"Add to Compare","Pridať k porovnaniu"
"We found other products you might like!","Našli sme ďalšie produkty o ktoré by ste mohli mať záujem!"
"More Choices:","Viac možností:"
"Check items to add to the cart or","Zaškrtnite položky pre pridanie do košíka alebo"
"select all","vybrať všetky"
"Items %1-%2 of %3","Položky %1-%2 z %3"
"%1 Item","%1 položka"
"%1 Items","%1 položiek"
Show,Zobraziť
"Sort By","Zoradiť podľa"
"Set Ascending Direction","Nastaviť vzostupný smer"
"Set Descending Direction","Nastaviť zostupný smer"
"View as","Zobraziť ako"
"More Information","Viac informácií"
"Warning message",Upozornenie
"We don't recognize or support this file extension type.","Nerozpoznaný alebo nepodporovaný typ súboru."
"Configure Product","Konfigurácia produktu"
"Select type of option.","Vyberte typ možnosti."
"Please add rows to option.","Prosím pridajte riadky k možnosti."
"Choose existing category.","Vyberte existujúcu kategóriu."
"Image Detail","Detail obrázku"
Adding...,Pridávanie...
Added,Pridané
"unselect all","zrušiť výber všetkých"
Inventory,Inventár
"Catalog Section","Výber katalógu"
Small,Malé
Main,Hlavné
"Custom image","Vlastný obrázok"
"Product Fields Auto-Generation","Samotvorba políčok produktu"
"Mask for SKU","Predefinované katalogového čísla"
"Use {{name}} as Product Name placeholder","Použite {{name}} ako zástupný reťazec pre Názov produktu"
"Mask for Meta Title","Predefinovaný META titulok"
"Mask for Meta Keywords","Preddefinované META kľučové slova"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Používať {{name}} ako názov produktu alebo {{sku}} ako katalogové číslo produktu"
"Mask for Meta Description","Preddefinovaný META popis"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Používať {{name}} a {{description}} ako preddefinovaný názov a popis produktu"
Storefront,Obchod
"List Mode","Režim zoznamu"
"Products per Page on Grid Allowed Values","Prednastavný počet produktov na stránke pri použití mriežky"
Comma-separated.,"Oddelené čiarkou."
"Products per Page on Grid Default Value","Prednastavný počet produktov na stránke pri použití mriežky"
"Products per Page on List Allowed Values","Prednastavný počet produktov na stránke pri použití zoznamu"
"Products per Page on List Default Value","Prednastavný počet produktov na stránke"
"Use Flat Catalog Category","Použiť predpripravené kategórie v katalógu"
"Use Flat Catalog Product","Použiť predpripravené zoznami produktov v katalógu"
"Product Listing Sort by","Produkty zoradené podľa"
"Allow All Products per Page","Povoliť možnost zobraziť všetky produkty"
"Product Image Placeholders","Zástupný obrázok"
"Page Title Separator","Oddeľovač názvu stránky"
"Use Canonical Link Meta Tag For Categories","Použite kanonické odkazy Meta tagu pre kategórie"
"Use Canonical Link Meta Tag For Products","Použite kanonické odkazy Meta tagu pre produkty"
"Category Top Navigation","Menu v hlavičke stránky"
"Maximal Depth","Maximálna hĺbka"
"Date & Time Custom Options","Vlastné možnosti dátumu a času"
"Use JavaScript Calendar","Používať JavaScript kalendár"
"Date Fields Order","Poradie políčok v dátume"
"Time Format","Formát času"
"Year Range","Rozsah rokov"
"Please use a four-digit year format.","Prosím, zadajte rok vo štvormiestom formáte."
"Top Level Category","Kategória najvyššej úrovne"
"Product Flat Data","Predpripravné data produktov"
"Reorganize EAV product structure to flat structure","Zmeniť štruktúru produktov z EAV na predpripravenú"
"Category Flat Data","Predpripravné data kategórie"
"Reorganize EAV category structure to flat structure","Zmeniť štruktúru kategórii z EAV na predpripravenú"
"Category Products","Produkty kategórie"
"Indexed category/products association","Indexované zoskupenie kategórii k produktom"
"Product Categories","Kategórie produktov"
"Indexed product/categories association","Indexované zoskupenie produktov ku kategóriam"
"Product Price","Cena produktu"
"Index product prices","Indexovať ceny produktov"
"Product EAV","EAV produktu"
"Index product EAV","Indexy EAV produktu"
"Catalog New Products List","Nový zoznam produktov katalogu"
"List of Products that are set as New","Zoznam výrobkov, ktoré sú nastavené ako nový"
"Display Type","Zobraziť typ"
"All products - recently added products, New products - products marked as new","Všetky produkty - naposledy pridané produkty, Nové výrobky - výrobky označené ako nové"
"All products","Všetky produkty"
"New products","Nové produkty"
"Display Page Control","Zobraziť ovládací prvok stránky"
"Number of Products per Page","Počet produktov na stránku"
"Number of Products to Display","Počet produktov k zobrazeniu"
Template,Šablóna
"New Products Grid Template","Nová šablóna pre výpis produktov v mriežke"
"New Products List Template","Nová šablóna pre výpis produktov v zozname"
"New Products Images and Names Template","Nová šablona pre obrázky a názvy produktov"
"New Products Names Only Template","Nová šablona pre Samotné názvy produktov"
"New Products Images Only Template","Nová šablona pre Samotné obrázky produktov"
"Cache Lifetime (Seconds)","Životnosť vyrovnávacej pamäte (v sekundách)"
"Catalog Product Link","Odkaz na produkt v katalogu"
"Link to a Specified Product","Odkaz na určitý produkt"
"Select Product...","Vyberte produkt..."
"Anchor Custom Text","Vlastný Text kotvy"
"If empty, we'll use the product name here.","Ak je prázdne, použijeme názov produktu."
"Anchor Custom Title","Vlastný titulok kotvy"
"Product Link Block Template","Šablóna odkazu na produkt ako blok"
"Product Link Inline Template","Šablóna odkazu na produkt v riadku"
"Catalog Category Link","Odkaz na kategóriu v katalogu"
"Link to a Specified Category","Odkaz na určitú kategóriu"
"Select Category...","Vyberte si kategóriu..."
"If empty, we'll use the category name here.","Ak je prázdne, použijeme názov kategórie."
"Category Link Block Template","Šablóna odkazu na kategóriu ako blok"
"Category Link Inline Template","Šablóna odkazu na kategóriu v riadku"
Image,Obrázok
"Add to Wishlist","Pridať do zoznamu prianí"
Set,Nastaviť
"Category Information","Informácie o kategórii"
"Enable Category","Povoliť kategóriu"
"Include in Menu","Zobraziť v menu"
"Category Image","Obrázok kategórie"
"Add CMS Block","Pridanie CMS bloku"
"Display Settings","Zobraziť nastavenia"
Anchor,Kotva
"Use All","Použiť všetky"
"Layered Navigation Price Step","Cenový schod v vrstvovej navigácii"
"URL Key","Kľúč URL"
"Meta Title","META titulok"
"Meta Keywords","META kľúčové slová"
"Meta Description","META popis"
"Products in Category","Produkty v kategórii"
Theme,Motív
Layout,Rozloženie
"Layout Update XML","Úprava XML rozloženia "
"Apply Design to Products","Aplikovať dizajn na produkty"
"Product Image Watermarks","Vodoznaky obrázkov produktu"
Base,Základný
"Allowed file types: jpeg, gif, png.","Povolené typy súborov: jpeg, gif, png."
"Image Opacity","Nepriehľadnosť obrázku"
"Example format: 200x300.","Príklad formátu: 200x300."
"Image Position","Pozícia obrázku"
"Attribute Properties","Vlastnosti atribútu"
"Attribute Label","štítok atribútu"
Values,Hodnoty
"Delete selected items?","Odstrániť vybraté položky?"
"Delete items","Odstrániť položky"
"Change status","Zmeniť stav"
"Update attributes","Aktualizovať atribúty"
Overview,Prehľad
"Skip to the end of the images gallery","Preskočiť na koniec galérie obrázkov"
"Skip to the beginning of the images gallery","Preskočiť na začiatok galérie obrázkov"
"Add To Cart","Pridať do košíka"
"Add To Compare","Pridať k porovnaniu"
"Edit Event","Upraviť udalosť"
"Add Event","Pridať udalosť"
Events,Udalosti
"Add Catalog Event","Pridanie udalosťi katalógu"
"Back to Category","Späť do kategórie"
"Edit Catalog Event","Upraviť udalosť katalógu"
"Catalog Event Information","Informácie o udalosti katalogu"
Upcoming,Nadchádzajúce
Open,Otvorené
Closed,Zatvorené
"Category Page","Stránka kategórie"
"Product Page","Stránka produktu"
"Coming Soon","Už čoskoro"
"Sale Ends In","Zľava končí za"
"You deleted the event.","Odstránili ste udalosť."
"New Event","Nová udalosť"
"Something went wrong while saving this event.","Pri ukladaní tejto udalosti došlo k chybe."
"We did not upload your image.","Váš obrázok nebol nahraný."
"You saved the event.","Uložili ste udalosť."
"%1 is required.","%1 je povinné."
"Please make sure the end date follows the start date.","Prosím uistite sa, že dátum ukončenia nasleduje po dátumu začatia."
"Event for selected category","Udalosť pre vybranú kategóriu"
"This product is no longer on sale.","Tento produkt je už v zľave."
"Some of these products can no longer be sold.","Niektoré z týchto výrobkov sa už nepredávajú."
"Select Category","Vybrať kategóriu"
Hrs,Hod
Mins,Min
Sec,Sek
"Preview Sale","Náhľad zľavy"
"Go To Sale","Isť na zľavu"
"View Sale","Zobraziť zľavu"
Days,Dni
"Catalog Events","Udalosti katalógu"
"Enable Catalog Events Functionality","Povoliť udalosti katalógu"
"Enable Catalog Event Widget on Storefront","Povolit udalsoti widgetov v katalogu na obchode"
"Number of Events to be Displayed in Event Slider Widget","Počet udalostí zobrazených na rotujúcom panelu"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Môžete prepísať túto predvolenú hodnotu v CMS nastavením premenej limit=""x"". Ak necháte pole prázne, limit nebude použitý."
"Events to Scroll per Click in Event Slider Widget","Počet udalosti pretočených po kliknuti na rotujúci panel"
"You can override this default value in CMS using the limit=""x"" variable.","Môžete prepísať túto predvolenú hodnotu v CMS nastavením premenej limit=""x""."
"Catalog Events Carousel","Rotujúce udalosti katalógu"
"List all open Catalog Events as a Paginated Carousel","Zobraz všetky otvorené udalosti katalógu po stránkach"
"Frame Size","Veľkosť rámu"
"Number of Items to display at once","Počet položiek zobrazených naraz"
Scroll,Pretočiť
"Number of Items to scroll per click","Počet položiek, pretočených na kliknutie"
"Block Custom Width","Vlastná šírka bloku"
"If empty, we'll automatically set the width value in pixels.","Pokial ostane prázdne, bude použita šírka v pixeloch."
"Catalog Events Carousel Default Template","Prednastavená šablóna pre rotujúce udalosti katalógu"
"Category ID","ID kategórie"
Start,Začiatok
End,Koniec
"File directory '%1' is not readable.","Adresára ""%1"" nie je čitateľný."
"File directory '%1' is not writable.","Do adresára ""%1"" nie je možné zapisovať."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Hodnota pre podatribút ""price"" v atribúte ""store"" obsahuje nesprávnu hodnotu"
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Hodnota pre podatribút ""price"" v atribúte ""custom_options"" obsahuje nesprávnu hodnotu"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Hodnota pre podatribút ""maximum characters"" v atribúte ""custom_options"" atribút obsahuje nesprávnu hodnotu"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Hodnota pre podatribút ""sort order"" v atribúte ""custom_options"" obsahuje nesprávnu hodnotu"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Hodnota pre podatribút ""value price"" v atribúte ""custom_options"" obsahuje nesprávnu hodnotu"
"File '%1' was not found or has read restriction.","Súbor ""%1"" nebol nájdený alebo má obmedzenie na čítanie."
"Minimum Qty","Minimálne množstvo"
"Add Minimum Qty","Pridať minimálne množstvo"
"Could not rebuild index for empty products array","Nebolo možené vygenerovať nové indexy pre prázdne pole"
"This product is out of stock.","Tento tovar nieje na sklade."
"Some of the products are out of stock.","Niektoré produkty niesú na sklade."
"The stock item for Product in option is not valid.","Neplatná skladová položka pre možnosť produktu."
"Undefined product type","Nedefinovaný typ produktu"
"%1 is not a correct comparison method.","%1 nie je správna metóda pre porovnanie."
